Repository,Topic,Subtopic,Source_Path,Date Revised 
Git_Remote_Repo,Git,Git practice / repository basics,gitPrac/,
Git_Remote_Repo,Git,git diff,gitPrac/git diff.png,
Git_Remote_Repo,Git,Git overview,gitPrac/git_overview.png,
Git_Remote_Repo,Generative AI,Basic GenAI experiments,gitPrac/genai.py; gitPrac/gen2ai.py,
DSA,Algorithm Analysis,Big-O notation,big_o_notation.ipynb,
DSA,Data Structures,Hash maps,hashmap.ipynb,
Deep_Learning,Generative AI,Fundamentals of Generative AI,Theory_Fundamentals_of_Generative_AI.ipynb,
Deep_Learning,Transformers,Transformer architecture,Transformer_architecture.ipynb,
core_ml,Machine Learning,Exploratory Data Analysis,eda_customers.py,
core_ml,Machine Learning,Feature engineering,supervised_ml/Feature_Engineering.ipynb,
core_ml,Regression,Linear regression,supervised_ml/Linear_Regression.ipynb,
core_ml,Regression,Linear regression theory,supervised_ml/theory/Regression/T_linear_regression.ipynb,
core_ml,Regression,Linear regression detailed study,supervised_ml/theory/Regression/T_only_Linear_Regression.ipynb,
core_ml,Regression,Regression model overview,supervised_ml/theory/Regression/T_Regression_models.ipynb,
core_ml,Regression,Lasso regression,supervised_ml/theory/Regression/T_Lasso_Ridge_regression.ipynb,
core_ml,Regression,Ridge regression,supervised_ml/theory/Regression/T_Lasso_Ridge_regression.ipynb,
core_ml,Regression,Decision trees,supervised_ml/theory/Regression/T_Decision_tree.ipynb,
core_ml,Regression,Random forests,supervised_ml/theory/Regression/T_Random_forest.ipynb,
core_ml,Regression,Support Vector Machines,supervised_ml/theory/Regression/T_svm.ipynb,
core_ml,Regression,Model scoring,supervised_ml/theory/Regression/model_scoring.ipynb,
core_ml,Regression,Regression faults and identification,supervised_ml/theory/Regression/evaluation/,
core_ml,Classification,Classification evaluation metrics,supervised_ml/theory/Classification/0_classification_evaluation_metrics.ipynb,
core_ml,Classification,Classification evaluation metrics practice,supervised_ml/theory/Classification/1_classification_eval_metrics.ipynb,
core_ml,Classification,Multiclass classification,supervised_ml/theory/Classification/multiclass_classification.ipynb,
core_ml,Classification,Multiclass classification implementation,supervised_ml/classification/multiclass_classification.ipynb,
core_ml,Machine Learning,K-Nearest Neighbors (KNN),supervised_ml/knn.ipynb,
core_ml,Machine Learning Project,Titanic experiment,supervised_ml/code/titanic_exp.ipynb,
core_ml,LLM Integration,Azure Claude proxy,azure_claude_proxy.py,
core_ml,LLM Integration,LiteLLM configuration,litellm_config.yaml,
Agentic_AI,Agentic AI,Agentic AI basics,apps/Crew AI/Agentic_AI_Basics.ipynb,
Agentic_AI,Agentic AI,Agentic AI basics - advanced,apps/Crew AI/Agentic_AI_Basics_2.ipynb,
